Serum,Serum group
614G-1,D614G convalescent
614G-2,D614G convalescent
614G-3,D614G convalescent
614G-4,D614G convalescent
Alpha-1,B.1.1.7 convalescent
Alpha-2,B.1.1.7 convalescent
Alpha-3,B.1.1.7 convalescent
Alpha-4,B.1.1.7 convalescent
Beta-1,B.1.351 convalescent
Beta-2,B.1.351 convalescent
Beta-3,B.1.351 convalescent
Beta-4,B.1.351 convalescent
Gamma-1,P.1 convalescent
Gamma-2,P.1 convalescent
Gamma-3,P.1 convalescent
Gamma-4,P.1 convalescent
Zeta-1,P.2 convalescent
Zeta-2,P.2 convalescent
Zeta-3,P.2 convalescent
Zeta-4,P.2 convalescent
Delta-1,B.1.617.2 convalescent
Delta-2,B.1.617.2 convalescent
Delta-3,B.1.617.2 convalescent
Delta-4,B.1.617.2 convalescent
Mu-1,B.1.621 convalescent
Mu-2,B.1.621 convalescent
Mu-3,B.1.621 convalescent
Mu-4,B.1.621 convalescent
Omicron BA.1-1,BA.1 convalescent
Omicron BA.1-2,BA.1 convalescent
Omicron BA.1-3,BA.1 convalescent
Omicron BA.1-4,BA.1 convalescent
