PRNT50,614G-1,614G-2,614G-3,614G-4,Alpha-1,Alpha-2,Alpha-3,Alpha-4,Beta-1,Beta-2,Beta-3,Beta-4,Gamma-1,Gamma-2,Gamma-3,Gamma-4,Zeta-1,Zeta-2,Zeta-3,Zeta-4,Delta-1,Delta-2,Delta-3,Delta-4,Mu-1,Mu-2,Mu-3,Mu-4,Omicron BA.1-1,Omicron BA.1-2,Omicron BA.1-3,Omicron BA.1-4
D614G,3875,3949,8347,1661,337.5,1752,795.3,683.9,86.29,713.3,320.6,377.9,1727,1019,3076,1594,2388,2254,8084,3575,1310,2148,1828,2143,3232,4927,1635,1018,120.8,226.3,320.8,342.9
B.1.1.7,2301,3331,8254,3389,1685,7167,3167,2024,59.96,2581,1165,1371,2965,2312,4692,4253,4044,1818,11229,1856,6210,14062,6509,4258,5355,11493,2914,1316,739.3,335.4,813.4,894
B.1.351,4789,318.3,1064,2227,378.8,2915,842.8,354,1402,7390,2947,1371,1196,1818,6740,2399,2498,1940,9474,1959,1111,4942,1111,1220,7252,13661,4157,5761,227.6,256.1,394.2,230.2
P.1,2616,1968,3706,1348,265.9,1893,574,272.6,197.3,2250,1033,519.2,506.6,502.8,2876,1115,1696,1057,5940,2355,1730,1958,1037,1369,6205,13154,4902,4970,192.1,178.5,263.7,214.9
P.2,1823,846.8,2128,522,79.57,440.2,182.7,113.8,129.8,336.7,126.9,93.16,126,122.2,472.6,235,1546,1228,2863,1246,726.4,1389,863.4,864.1,1002,1965,513.1,344.4,154,149.3,211.7,189.3
B.1.617.2,10734,4899,11898,5323,1703,5819,794.2,1230,85.5,1010,640,93.56,7680,4653,12937,22427,1935,2007,10284,3028,4453,7974,5800,5226,1964,2122,1129,664.9,150.9,103.9,225,156.7
B.1.621,5005,982.9,3518,1534,655.7,2212,811.3,613.1,117,2270,858.4,286.2,289.4,279.2,1209,357.1,2619,1939,7167,1948,1490,2434,1578,1581,1903,4354,896.6,416.2,237.9,338.7,456.9,371.5
BA.1,65.6,10,92.48,21.43,20.18,26.9,37.55,24.25,10,119.5,202.8,21.44,20.02,55.77,46.56,310.1,10,69.38,70.68,116.6,151,650.6,543.3,421.1,209.8,268.7,120.7,135.3,811.5,991.8,1629,4864
C.37,5299,4308,4991,4132,4112,6668,2829,4652,160,1673,864.2,339.4,4333,2985,4888,5058,2577,1411,5167,3566,3164,4772,4661,2691,3478,3863,4300,1882,462.9,555.4,895,833.2
AY.4.2,4401,2566,6083,3121,761.2,2378,774.6,861.3,81.04,730.5,509.7,141.2,3602,3540,7541,11143,1128,1281,6266,1243,4521,15032,12711,9747,1896,1467,1158,495.7,210.3,264.7,1236,294.5
BA.2,420.2,139.3,146.7,41.22,45.12,57.4,41.43,10,11.49,186.5,203.8,102.2,70.88,72.35,166.8,470.4,55.6,188.5,137.6,606.2,131.5,370.4,110.6,299.8,695,1432,123.8,216.5,204.8,212.8,149.8,231.4
