,1081,1243,1244,1245,1246,1247,1248,07-555-0213,07-555-0215,07-555-0268,07-555-0338,07-555-0339,07-555-0340,07-555-0341,07-555-0342,07-555-0344,07-555-0345,nCOV4001ECC,nCOV4004ECC,nCOV4005ECC,nCOV4006ECC,nCOV4010ECC,nCOV4011ECC,nCOV4012ECC,nCOV4013ECC,nCOV4014ECC,nCOV4017ECC,nCOV4018ECC,nCOV4026ECC,nCOV4031ECC,nCOV4043ECC,nCOV4049ECC,nCOV4055ECC,nCOV4067ECC,782507714,867105307,867925915,867832798,867485368,751630239,751480338,762511414,754103370,867684911,770591159,751399896,775561673,775953402,723978478,723276453,775984923,CC165,CC167,CC176,CC174,CC173,CC163,CC160,CC153,CC166,CC168,CC164,CC169,CC149,CC129
WA1,891.7605743,504.1267619,1033.872441,582.5529493,788.1571115,1166.530211,2385.600077,1048.396043,1911.864659,5113.89162,909.7181585,1230.3797,1471.075447,1694.917236,3440.845196,761.6131305,1113.641554,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,983.8407011,57.35787407,1279.114899,67.75519453,23.57503767,<20
B.1.351,126.7606174,37.19283249,75.46307791,74.66740059,85.96504361,81.43954695,369.0294006,58.94867037,87.99806697,666.3004975,47.4426004,62.23224614,116.7980876,238.164337,491.0972643,72.73695668,90.83980992,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1572.18525,153.2250451,4594.021424,117.970191,46.06958254,21.55724831
R.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3982.409678,351.8274184,5597.631142,296.3208036,93.32192695,22.9133219
A.23.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5402.195513,634.8182469,6886.425004,881.7886742,228.3139123,70.0929277
C.37,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6479.421452,527.6377997,5338.733435,568.2005945,52.68739712,52.37091105
B.1,394.5761939,268.1914498,428.2236042,349.0136201,360.5201021,499.4727398,1472.570104,412.5830239,571.0451246,2534.497745,524.5265882,496.7937193,812.4096669,1342.954976,2391.84673,713.2229174,837.4423908,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3074.401306,297.7880631,5283.295045,351.9493713,132.3242737,38.46086031
B.1.617.2,207.8102931,160.2345251,202.7876229,174.8107727,157.0319224,178.6343083,514.5836564,212.3292283,256.5506829,1333.025548,314.3838448,350.2377006,391.290562,490.9152142,1322.919501,432.1486435,439.6667175,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3766.663923,3397.781968,5385.447128,6143.72653,52.65998985,33.17000829
B.1.617.2_K417N,360.3225784,147.1061257,546.8817876,155.742234,212.5781903,330.1381339,853.6226631,282.4632661,259.4876927,1737.136772,191.0550055,309.2166103,462.362936,403.1312754,1939.663838,560.0694641,373.0489157,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5687.646191,3431.476597,6424.389765,5781.473632,74.33760195,41.63629432
B.1.617.1,171.71569,61.60159506,126.5153225,137.8170851,110.0240141,116.2480008,358.0724702,157.888615,177.717153,1079.265884,144.0796226,151.8017293,156.1103013,449.7245025,562.3019335,176.2440179,201.6044257,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1736.357471,136.5617542,3155.774899,222.3437746,45.49478321,26.61753036
B.1.525,320.9693299,207.364091,278.5883226,272.0244284,330.2427075,312.3980715,693.7840975,244.7908183,610.7153649,1986.901524,188.7699853,566.5146987,373.0646327,769.6908331,1302.381724,470.1155762,363.586297,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2646.449383,219.1933405,3371.229523,193.9444494,50.73012951,31.88391403
