Serum,Serum group
WA1-28-0,614D convalescent
WA1-28-1,614D convalescent
WA1-28-2,614D convalescent
WA1-28-3,614D convalescent
B.1.1.7+E484K-28-0,B.1.1.7+E484K convalescent
B.1.1.7+E484K-28-1,B.1.1.7+E484K convalescent
B.1.1.7+E484K-28-2,B.1.1.7+E484K convalescent
B.1.1.7+E484K-28-3,B.1.1.7+E484K convalescent
B.1.351-28-0,B.1.351 convalescent
B.1.351-28-1,B.1.351 convalescent
B.1.351-28-2,B.1.351 convalescent
B.1.351-28-3,B.1.351 convalescent
P.1-28-0,P.1 convalescent
P.1-28-1,P.1 convalescent
P.1-28-2,P.1 convalescent
P.1-28-3,P.1 convalescent
B.1.429-28-0,B.1.429 convalescent
B.1.429-28-1,B.1.429 convalescent
B.1.429-28-2,B.1.429 convalescent
B.1.429-28-3,B.1.429 convalescent
