Serum,Serum group
Convalescent 1,WT convalescent
Convalescent 2,WT convalescent
Convalescent 3,WT convalescent
Convalescent 4,WT convalescent
Convalescent 5,WT convalescent
Convalescent 6,WT convalescent
Convalescent 7,WT convalescent
Convalescent 8,WT convalescent
Convalescent 9,WT convalescent
Convalescent 10,WT convalescent
Convalescent 11,WT convalescent
Convalescent 12,WT convalescent
Convalescent 13,WT convalescent
Convalescent 14,WT convalescent
Convalescent 15,WT convalescent
Convalescent 16,WT convalescent
Convalescent 17,WT convalescent
Convalescent 18,WT convalescent
Convalescent 19,WT convalescent
Convalescent 20,WT convalescent
Convalescent 21,WT convalescent
Convalescent 22,WT convalescent
Convalescent 23,WT convalescent
Convalescent 24,WT convalescent
Convalescent 25,WT convalescent
Convalescent 26,WT convalescent
Convalescent 27,WT convalescent
Convalescent 28,WT convalescent
Convalescent 29,WT convalescent
Convalescent 30,WT convalescent
Convalescent 31,WT convalescent
Convalescent 32,WT convalescent
Convalescent 33,WT convalescent
Convalescent 34,WT convalescent
B.1.1.7 P3,B.1.1.7 convalescent
B.1.1.7 P5,B.1.1.7 convalescent
B.1.1.7 P6,B.1.1.7 convalescent
B.1.1.7 P7,B.1.1.7 convalescent
B.1.1.7 P8,B.1.1.7 convalescent
B.1.1.7 P9,B.1.1.7 convalescent
B.1.1.7 P10,B.1.1.7 convalescent
B.1.1.7 P11,B.1.1.7 convalescent
B.1.1.7 P14,B.1.1.7 convalescent
B.1.1.7 P15,B.1.1.7 convalescent
B.1.1.7-P16,B.1.1.7 convalescent
B.1.1.7-P17,B.1.1.7 convalescent
B.1.1.7-P18,B.1.1.7 convalescent
B.1.1.7-P19,B.1.1.7 convalescent
B.1.1.7-P20,B.1.1.7 convalescent
B.1.1.7-P22,B.1.1.7 convalescent
B.1.1.7-P23,B.1.1.7 convalescent
B.1.1.7-P4,B.1.1.7 convalescent
SA01,B.1.351 convalescent
SA02,B.1.351 convalescent
SA03,B.1.351 convalescent
SA04,B.1.351 convalescent
SA05,B.1.351 convalescent
SA06,B.1.351 convalescent
SA07,B.1.351 convalescent
SA08,B.1.351 convalescent
SA09,B.1.351 convalescent
SA10,B.1.351 convalescent
SA11,B.1.351 convalescent
SA12,B.1.351 convalescent
SA13,B.1.351 convalescent
SA14,B.1.351 convalescent
P.1-1,P.1 convalescent
P.1-2,P.1 convalescent
P.1-3,P.1 convalescent
P.1-4,P.1 convalescent
P.1-5,P.1 convalescent
P.1-6,P.1 convalescent
P.1-7,P.1 convalescent
P.1-8,P.1 convalescent
P.1-9,P.1 convalescent
P.1-10,P.1 convalescent
P.1-11,P.1 convalescent
P.1-12,P.1 convalescent
P.1-13,P.1 convalescent
P.1-14,P.1 convalescent
P.1-15,P.1 convalescent
P.1-16,P.1 convalescent
P.1-17,P.1 convalescent
Pfizer1,mRNA-1273
Pfizer2,mRNA-1273
Pfizer3,mRNA-1273
Pfizer4,mRNA-1273
Pfizer5,mRNA-1273
Pfizer6,mRNA-1273
Pfizer7,mRNA-1273
Pfizer8,mRNA-1273
Pfizer9,mRNA-1273
Pfizer10,mRNA-1273
Pfizer11,mRNA-1273
Pfizer12,mRNA-1273
Pfizer13,mRNA-1273
Pfizer14,mRNA-1273
Pfizer15,mRNA-1273
Pfizer16,mRNA-1273
Pfizer17,mRNA-1273
Pfizer18,mRNA-1273
Pfizer19,mRNA-1273
Pfizer20,mRNA-1273
Pfizer21,mRNA-1273
Pfizer22,mRNA-1273
Pfizer23,mRNA-1273
Pfizer24,mRNA-1273
Pfizer25,mRNA-1273
AstraZeneca 1,AstraZeneca
AstraZeneca 2,AstraZeneca
AstraZeneca 3,AstraZeneca
AstraZeneca 4,AstraZeneca
AstraZeneca 5,AstraZeneca
AstraZeneca 6,AstraZeneca
AstraZeneca 7,AstraZeneca
AstraZeneca 8,AstraZeneca
AstraZeneca 9,AstraZeneca
AstraZeneca 10,AstraZeneca
AstraZeneca 11,AstraZeneca
AstraZeneca 12,AstraZeneca
AstraZeneca 13,AstraZeneca
AstraZeneca 14,AstraZeneca
AstraZeneca 15,AstraZeneca
AstraZeneca 16,AstraZeneca
AstraZeneca 17,AstraZeneca
AstraZeneca 18,AstraZeneca
AstraZeneca 19,AstraZeneca
AstraZeneca 20,AstraZeneca
AstraZeneca 21,AstraZeneca
AstraZeneca 22,AstraZeneca
AstraZeneca 23,AstraZeneca
AstraZeneca 24,AstraZeneca
AstraZeneca 25,AstraZeneca
