,Convalescent 1,Convalescent 2,Convalescent 3,Convalescent 4,Convalescent 5,Convalescent 6,Convalescent 7,Convalescent 8,Convalescent 9,Convalescent 10,Convalescent 11,Convalescent 12,Convalescent 13,Convalescent 14,Convalescent 15,Convalescent 16,Convalescent 17,Convalescent 18,Convalescent 19,Convalescent 20,Convalescent 21,Convalescent 22,Convalescent 23,Convalescent 24,Convalescent 25,Convalescent 26,Convalescent 27,Convalescent 28,Convalescent 29,Convalescent 30,Convalescent 31,Convalescent 32,Convalescent 33,Convalescent 34,B.1.1.7 P3,B.1.1.7 P5,B.1.1.7 P6,B.1.1.7 P7,B.1.1.7 P8,B.1.1.7 P9,B.1.1.7 P10,B.1.1.7 P11,B.1.1.7 P14,B.1.1.7 P15,B.1.1.7-P16,B.1.1.7-P17,B.1.1.7-P18,B.1.1.7-P19,B.1.1.7-P20,B.1.1.7-P22,B.1.1.7-P23,B.1.1.7-P4,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,P.1-1,P.1-2,P.1-3,P.1-4,P.1-5,P.1-6,P.1-7,P.1-8,P.1-9,P.1-10,P.1-11,P.1-12,P.1-13,P.1-14,P.1-15,P.1-16,P.1-17,Pfizer1,Pfizer2,Pfizer3,Pfizer4,Pfizer5,Pfizer6,Pfizer7,Pfizer8,Pfizer9,Pfizer10,Pfizer11,Pfizer12,Pfizer13,Pfizer14,Pfizer15,Pfizer16,Pfizer17,Pfizer18,Pfizer19,Pfizer20,Pfizer21,Pfizer22,Pfizer23,Pfizer24,Pfizer25,AstraZeneca 1,AstraZeneca 2,AstraZeneca 3,AstraZeneca 4,AstraZeneca 5,AstraZeneca 6,AstraZeneca 7,AstraZeneca 8,AstraZeneca 9,AstraZeneca 10,AstraZeneca 11,AstraZeneca 12,AstraZeneca 13,AstraZeneca 14,AstraZeneca 15,AstraZeneca 16,AstraZeneca 17,AstraZeneca 18,AstraZeneca 19,AstraZeneca 20,AstraZeneca 21,AstraZeneca 22,AstraZeneca 23,AstraZeneca 24,AstraZeneca 25
Victoria,61,689,526,409,369,1270,274,633,667,124,102,339,331,438,6397,44,1115,242,29,154,487,438,381,1647,913,1880,1464,361,2859,1109,811,395,1144,676,143,1839,562,2936,4696,1777,2484,1632,1555,227,2902,3781,2641,775,2614,390,864,88889,379,597,71,240,67,69,463,641,888,80,1234,2148,268,595,86,<20,20,29,<20,2505,123,40,23,<20,123,<20,<20,87,8199,828,1654,1149,<20,1727,2234,3016,1521,609,4340,1467,1757,860,1749,1851,407,1285,1286,1810,1198,466,1539,184,1061,1658,1155,8092,495,580,253,183,432,764,133,257,501,357,334,250,122,212,789,538,1159,353,975,169,155,152,126,293,94
B.1.1.7,56,400,126,139,161,678,68,461,80,76,30,97,81,56,1112,31,210,163,25,70,209,155,102,561,251,853,561,92,1535,241,232,90,227,150,197,1449,255,965,1122,932,2755,1212,480,111,1175,1959,1029,503,1012,469,450,76498,200,381,50,270,72,32,426,699,212,65,195,1975,63,316,42,<20,<20,64,<20,1455,211,95,<20,21,55,<20,22,180,3020,687,991,214,<20,393,1622,1009,439,157,2212,229,440,224,191,595,165,520,243,294,260,229,571,70,367,332,322,4953,372,424,78,72,185,456,29,127,381,153,95,84,38,78,299,106,368,239,280,106,65,79,63,208,43
B.1.351,<20,<20,88,339,<20,522,<20,111,<20,<20,<20,<20,<20,<20,1147,<20,<20,<20,<20,21,58,53,<20,72,202,348,67,<20,748,184,210,<20,48,<20,<20,392,93,168,533,575,1007,1013,42,591,477,504,581,98,1420,130,241,108010,865,1494,165,2239,351,228,1695,1053,778,98,521,3628,165,814,175,<20,<20,247,<20,1671,146,189,56,140,340,<20,138,410,6528,589,181,73,<20,230,420,577,152,109,1255,102,124,121,66,385,122,202,91,143,93,61,178,<20,212,100,192,3006,155,217,<20,62,62,54,<20,41,128,116,45,51,<20,<20,94,57,36,44,69,<20,<20,<20,<20,30,<20
P.1,25,49,173,356,105,556,80,223,126,34,30,74,240,95,3261,39,87,64,20,136,165,241,83,390,322,825,206,81,1010,477,274,130,207,201,85,979,165,135,1024,676,1158,1219,118,345,885,666,1034,134,1028,221,321,99034,351,3097,133,540,476,52,540,287,461,41,494,2069,61,235,404,58,94,249,44,1991,326,484,205,241,617,40,434,329,5124,634,438,396,36,698,712,1033,302,294,2119,361,343,424,452,669,294,571,311,304,282,229,693,52,491,355,569,5029,265,429,<20,102,215,111,29,116,97,133,115,94,40,110,281,181,359,85,382,74,87,98,67,151,25
B.1.617.2,<20,41,231,445,136,460,124,360,81,<20,127,95,55,465,2916,<20,239,71,<20,60,76,236,189,900,747,832,829,621,1143,425,556,317,302,150,39,384,54,3049,535,533,1182,532,911,778,2016,566,732,211,1509,182,185,109481,214,629,<20,293,<20,<20,374,30,10,10,83,390,<20,123,<20,<20,<20,<20,<20,1311,<20,<20,<20,<20,<20,<20,<20,<20,2551,333,227,540,10,644,3604,992,875,636,726,217,338,138,964,932,177,466,336,811,474,155,502,39,586,365,1036,4256,235,308,10,101,121,134,10,57,194,217,90,54,26,41,69,201,184,122,224,30,29,39,27,223,10
P.2,<20,<20,120,258,<20,95,60,159,58,<20,<20,39,<20,<20,51,1722,54,<20,<20,66,66,177,336,76,122,<20,325,461,439,458,136,158,152,326,<20,207,66,902,343,162,249,68,134,60,580,150,286,96,573,64,267,48284,286,316,<20,67,21,92,519,165,308,34,285,687,56,136,46,<20,20,<20,<20,924,68,56,<20,<20,55,<20,<20,59,5525,400,365,195,<20,254,461,369,211,141,874,136,100,101,152,265,96,252,133,214,184,92,273,24,224,141,236,1503,93,174,<20,53,50,22,<20,46,55,82,38,37,<20,41,74,80,62,48,132,32,35,40,25,98,10
Bristol,<20,<20,27,232,42,130,<20,352,<20,<20,<20,65,37,<20,853,<20,<20,130,<20,27,52,143,86,175,178,297,138,23,373,179,129,78,130,80,44,918,139,836,1050,744,1847,339,166,55,710,715,466,169,806,265,310,65790,143,112,<20,10,61,136,414,391,283,47,283,1457,61,177,61,<20,<20,25,<20,864,253,58,34,<20,87,<20,<20,100,2410,372,249,139,<20,332,219,594,147,168,1384,105,147,95,132,291,139,325,203,172,118,221,288,132,132,145,127,1500,107,368,<20,58,99,26,<20,41,49,123,34,43,<20,25,111,150,63,50,305,<20,35,27,<20,86,<20
D614G,35,521,297,246,345,299,172,218,150,42,106,173,136,172,3477,<20,271,179,<20,86,173,213,308,947,544,825,595,257,1049,258,264,174,308,253,64,635,95,1311,749,490,822,552,491,162,1181,549,721,216,334,94,254,86760,245,257,<20,<20,<20,27,514,114,147,<20,242,302,<20,77,<20,<20,<20,<20,<20,1921,44,<20,<20,<20,22,<20,<20,<20,5574,496,666,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Victoria-ps,99,1098,677,992,1016,1417,716,474,431,129,166,585,362,514,8300,124,1188,480,78,552,894,1596,661,2976,2609,1677,1664,652,3117,1341,1518,764,1895,1289,101,1423,655,2073,2459,2046,3019,3243,1444,174,1463,803,990,575,1647,422,2243,22442,586,564,107,824,166,295,1384,360,584,57,530,1026,53,678,274,21,108,152,56,1751,313,151,111,107,157,62,202,121,1555,337,1489,1575,82,1812,4675,3239,1994,1466,3115,888,2315,1418,1643,2744,584,1823,1094,2358,1872,983,1603,347,678,1149,1082,3496,489,440,90,349,681,169,228,333,134,93,192,88,373,188,572,202,763,233,1031,188,224,367,96,612,67
B.1.617.1-ps,<20,165,677,817,54,820,115,288,162,<20,22,97,214,52,7086,<20,33,85,<20,204,135,497,135,405,750,424,227,333,982,447,454,567,183,830,27,107,69,1623,749,145,373,205,665,79,292,415,466,54,1197,172,504,15436,402,876,18,1231,27,121,508,239,259,98,379,1142,10,511,125,22,58,116,31,1039,12,100,107,19,82,48,87,39,2050,194,364,790,10,686,3179,999,1208,973,953,405,493,307,619,937,216,491,216,558,1227,603,1156,34,455,297,558,2494,333,345,12,311,56,30,127,81,106,133,116,51,218,91,87,156,208,102,443,64,49,49,43,102,32
