Serum,Serum group
mRNA-1273-1,mRNA-1273
mRNA-1273-2,mRNA-1273
mRNA-1273-3,mRNA-1273
mRNA-1273-4,mRNA-1273
mRNA-1273-5,mRNA-1273
mRNA-1273-6,mRNA-1273
mRNA-1273-7,mRNA-1273
mRNA-1273-8,mRNA-1273
mRNA-1273-9,mRNA-1273
mRNA-1273-10,mRNA-1273
mRNA-1273-11,mRNA-1273
mRNA-1273-12,mRNA-1273
mRNA-1273-13,mRNA-1273
mRNA-1273-14,mRNA-1273
mRNA-1273-15,mRNA-1273
mRNA-1273-16,mRNA-1273
mRNA-1273-17,mRNA-1273
mRNA-1273-18,mRNA-1273
mRNA-1273-351-1,mRNA-1273.351
mRNA-1273-351-2,mRNA-1273.351
mRNA-1273-351-3,mRNA-1273.351
mRNA-1273-351-4,mRNA-1273.351
mRNA-1273-351-5,mRNA-1273.351
mRNA-1273-351-6,mRNA-1273.351
mRNA-1273-351-7,mRNA-1273.351
mRNA-1273-351-8,mRNA-1273.351
mRNA-1273-351-9,mRNA-1273.351
mRNA-1273-351-10,mRNA-1273.351
mRNA-1273-351-11,mRNA-1273.351
mRNA-1273-351-12,mRNA-1273.351
mRNA-1273-351-13,mRNA-1273.351
mRNA-1273-351-14,mRNA-1273.351
mRNA-1273-351-15,mRNA-1273.351
mRNA-1273-351-16,mRNA-1273.351
mRNA-1273-351-17,mRNA-1273.351
mRNA-1273-351-18,mRNA-1273.351
